cor,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
t1,1,0.688,0.599,0.512,0.419,0.347,0.38,0.401,0.338,0.328,0.263,0.161
t2,0.688,1,0.649,0.56,0.4,0.305,0.35,0.445,0.379,0.373,0.288,0.198
t3,0.599,0.649,1,0.598,0.389,0.249,0.33,0.347,0.288,0.327,0.251,0.15
t4,0.512,0.56,0.598,1,0.254,0.199,0.263,0.309,0.239,0.283,0.255,0.148
t5,0.419,0.4,0.389,0.254,1,0.608,0.647,0.658,0.402,0.362,0.325,0.164
t6,0.347,0.305,0.249,0.199,0.608,1,0.573,0.548,0.431,0.404,0.367,0.239
t7,0.38,0.35,0.33,0.263,0.647,0.573,1,0.735,0.438,0.389,0.41,0.306
t8,0.401,0.445,0.347,0.309,0.658,0.548,0.735,1,0.48,0.383,0.381,0.283
t9,0.338,0.379,0.288,0.239,0.402,0.431,0.438,0.48,1,0.463,0.402,0.275
t10,0.328,0.373,0.327,0.283,0.362,0.404,0.389,0.383,0.463,1,0.382,0.215
t11,0.263,0.288,0.251,0.255,0.325,0.367,0.41,0.381,0.402,0.382,1,0.401
t12,0.161,0.198,0.15,0.148,0.164,0.239,0.306,0.283,0.275,0.215,0.401,1
